product_no,review_cnt,review_score,sale_cnt
32709,0,0,3
18471,0,0,0
33201,0,0,1
32000,0,0,0
31400,0,0,1
25432,0,0,2
25442,0,0,1
4011,0,0,0
33206,0,0,0
33233,0,0,0
28399,0,0,3
33302,0,0,0
33324,0,0,0
33213,0,0,0
24004,1,5,3
33296,0,0,0
30347,0,0,0
30348,0,0,0
33225,0,0,0
33240,0,0,0
29714,0,0,1
2355,11,5,61
33207,0,0,0
33208,0,0,0
33221,0,0,0
33304,0,0,2
33196,0,0,0
33319,0,0,0
27478,0,0,0
33230,0,0,0
33204,0,0,1
33202,0,0,0
33534,0,0,0
33231,0,0,0
33320,0,0,0
33229,0,0,0
29195,0,0,3
33294,0,0,0
33298,0,0,0
33399,0,0,0
17356,0,0,0
28290,0,0,0
28292,0,0,0
28291,0,0,0
31810,0,0,4
28906,0,0,0
33310,0,0,0
33198,0,0,0
33314,0,0,1
33306,0,0,0
33401,0,0,0
33397,0,0,0
31984,0,0,0
33305,0,0,0
18139,0,0,1
33292,0,0,0
18095,0,0,6
33223,0,0,0
33400,0,0,0
33398,0,0,0
22151,0,0,5
30157,0,0,0
28720,0,0,1
33195,0,0,1
33234,0,0,0
28172,0,0,0
28179,0,0,0
33200,0,0,0
33203,0,0,0
33303,0,0,0
27490,0,0,1
33216,0,0,0
33218,0,0,0
33239,0,0,0
33205,0,0,0
32403,0,0,6
33235,0,0,0
27831,1,4,2
33301,0,0,0
33321,0,0,0
33199,0,0,0
30064,1,5,10
31674,0,0,2
1070,0,0,1
31677,1,5,18
1072,0,0,0
1073,0,0,0
1069,0,0,0
616,0,0,1
1271,0,0,0
33395,0,0,0
27783,3,5,11
33394,0,0,3
32885,0,0,0
33392,0,0,0
32028,0,0,0
32029,0,0,0
32886,0,0,0
32016,0,0,0
32967,0,0,3
32973,0,0,0
32058,0,0,0
32056,1,4,1
32011,0,0,0
29840,2,5,11
32971,0,0,0
32313,0,0,1
32312,0,0,1
28948,0,0,0
32975,0,0,0
14353,2,5,14
33478,0,0,0
32015,0,0,2
32215,0,0,1
32061,0,0,0
32043,1,5,1
32965,0,0,0
32968,0,0,4
32223,0,0,5
33228,0,0,0
32972,0,0,3
33214,0,0,2
32873,0,0,3
32964,0,0,0
30111,0,0,4
32898,0,0,2
32316,0,0,0
33388,0,0,2
28484,0,0,1
32899,0,0,0
32214,0,0,0
32042,0,0,1
33475,0,0,0
33391,0,0,0
32900,0,0,0
32031,1,5,2
32976,0,0,0
32030,0,0,0
33474,0,0,2
32027,0,0,0
32315,0,0,1
32026,0,0,2
32970,0,0,0
33477,0,0,0
32224,0,0,1
32969,0,0,1
27460,0,0,1
32219,0,0,1
28485,0,0,0
32010,0,0,5
33217,0,0,1
32222,1,5,2
33389,0,0,2
32897,0,0,0
32213,0,0,0
32226,0,0,2
32225,1,5,1
32319,0,0,0
32874,0,0,1
32216,1,5,4
29894,0,0,2
23179,1,5,4
32007,0,0,2
32012,0,0,3
7201,3,5,36
33224,0,0,0
33222,0,0,3
33390,0,0,3
32009,1,5,3
32013,0,0,0
11142,1,4,2
33219,0,0,1
32314,0,0,0
15777,1,5,17
7136,0,0,6
28241,0,0,0
28237,0,0,3
18261,5,4.8,11
7363,0,0,17
27549,4,5,8
2645,4,4.75,24
33393,0,0,0
18260,2,5,8
21512,4,5,22
31119,0,0,1
27665,2,5,9
14743,4,3.25,20
32218,1,5,8
32217,1,5,4
7683,2,5,28
32997,0,0,0
32641,0,0,1
32677,0,0,0
32652,0,0,1
32190,0,0,0
12835,3,5,30
7760,0,0,2
8367,0,0,2
9539,0,0,0
7761,0,0,3
10005,0,0,1
7487,0,0,1
9866,0,0,1
4966,0,0,0
6563,0,0,2
33186,0,0,0
9551,1,4,15
6512,1,5,5
8084,0,0,3
8075,0,0,0
10592,0,0,2
10670,0,0,0
9845,0,0,0
10702,0,0,0
9779,1,5,1
10211,1,5,5
10210,0,0,0
11624,5,5,32
29583,0,0,3
10178,0,0,1
9937,0,0,0
10357,0,0,1
10359,0,0,0
